Date of Query|Time of Query|Premises Name|Address|postcode|Local Authorities|Business Type|Products Sold|Company Name|Status
10/18/2020|01:35:06|manse road newsagent|86 manse road, none|ML2 9BD|North Lanarkshire|Confectionary / Tobacconist / Newsagents|Tobacco Only|manse road newsagent|Inactive
10/18/2020|01:35:06|manse road newsagent|86 manse road,|ML2 9BD|North Lanarkshire|Confectionary / Tobacconist / Newsagents|Tobacco Only|manse road newsagent|Inactive
10/18/2020|01:35:06|Manse Road Supermarket|151A Manse Road, Kilsyth|G65 0EU|North Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|Manse Road Super Market|Active
10/18/2020|01:35:06|Mansfield castle Hotel|Scotsburn Road,|IV19 1PR|Highland|Hotel|Tobacco Only|shearer hotels|Inactive
10/18/2020|01:35:06|Mansion House|20 Glassford Street,|G1 1UL|Glasgow City|Nightclub|Tobacco Only|Mansion House (A3D2 Ltd)|Active
10/18/2020|01:35:06|Manswood Mini Market|82 Parkneuke Road, Manswood|G43 2AP|Glasgow City|Confectionary / Tobacconist / Newsagents|Tobacco Only|Manswood Mini Market|Active
10/18/2020|01:35:06|Manual|Bldg Nca1 Fl 2, 1401 Sheridan Rd Dept 0902|POBOX2JAMA ARE|Scottish Borders|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Babare enterprise|Active
10/18/2020|01:35:06|Manzoor's Licensed Grocer|12 Fir Park, Tillicoultry|FK13 6PX|Clackmannanshire|Convenience Store|Tobacco And Nicotine Vapour Products|Manzoor's Licensed Grocer|Active
10/18/2020|01:35:06|Maple Court Hotel|12 Ness Walk,|IV3 5SQ|Highland|Hotel|Tobacco Only|Maple Court|Inactive
10/18/2020|01:35:06|Mar Hall|Earl of Mar Estate,|PA7 5NW|Renfrewshire|Hotel|Tobacco Only|Mar Estates Ltd|Inactive
10/18/2020|01:35:13|MARCANTONIO|28 GRANTON ROAD,|EH5 3QS|Edinburgh City|Convenience Store|Tobacco Only|MARCANTONIO|Inactive
10/18/2020|01:35:13|Marcantonio's|27 Hamilton Road,|ML1 3BY|North Lanarkshire|Other Catering|Tobacco Only|Marcantonio's|Active
10/18/2020|01:35:13|MARCHMONT FOOD AND WINE|12 ROSENEATH STREET,|EH9 1JH|Edinburgh City|Convenience Store|Tobacco Only|MARCHMONT FOOD AND WINE|Inactive
10/18/2020|01:35:13|marchmont market|129 marchmont road,|EH9 1HA|Edinburgh City|Supermarket and Other Retail Outlets|Tobacco Only|marchmont market|Inactive
10/18/2020|01:35:13|Marcliffe Hotel & Spa|North Deeside Road, Pitfodels|AB15 9YA|Aberdeen City|Hotel|Tobacco Only|Marcliffe Hotel Limited|Active
10/18/2020|01:35:13|marcos fastfood|12 belmont st,|AB10 1JE|Aberdeen City|Other Catering|Tobacco Only|belmont x ltd|Inactive
10/18/2020|01:35:13|marcos fastfood2|62 justicemill lane,|AB11 6EP|Aberdeen City|Other Catering|Tobacco Only|saxxon ltd|Active
10/18/2020|01:35:13|Margaret's|108 High Street,|DG11 2ES|Dumfries and Galloway|Confectionary / Tobacconist / Newsagents|Tobacco Only|Margaret's|Active
10/18/2020|01:35:13|Margiotta Ltd (Ashley)|48-50 Ashley Terrace,|EH11 1RY|Edinburgh City|Convenience Store|Tobacco And Nicotine Vapour Products|Margiotta ltd|Active
10/18/2020|01:35:13|Margiotta Ltd (Comiston)|142-143 Comiston Road,|EH10 5QN|Edinburgh City|Convenience Store|Tobacco And Nicotine Vapour Products|Margiotta ltd|Active
10/18/2020|01:35:13|Margiotta Ltd (Dundas)|122-124 Dundas Street,|EH3 5DQ|Edinburgh City|Convenience Store|Tobacco And Nicotine Vapour Products|Margiotta ltd|Active
10/18/2020|01:35:13|Margiotta Ltd (Lasswade)|Kirkbrae House, 43 Lasswade Road|EH16 6TD|Edinburgh City|Convenience Store|Tobacco And Nicotine Vapour Products|Margiotta ltd|Active
10/18/2020|01:35:13|Margiotta Ltd (Mayfield)|Margiotta Limited, 86-88 Mayfield Road|EH9 3AF|Edinburgh City|Convenience Store|Tobacco And Nicotine Vapour Products|Margiotta ltd|Active
10/18/2020|01:35:13|Margiotta Ltd (Polwarth)|Margiotta, 1 Polwarth Gardens|EH11 1JS|Edinburgh City|Convenience Store|Tobacco And Nicotine Vapour Products|Margiotta ltd|Active
10/18/2020|01:35:13|Margiotta Ltd (Warrender)|77 Warrender Park Road,|EH9 1ES|Edinburgh City|Convenience Store|Tobacco And Nicotine Vapour Products|Margiotta ltd|Active
10/18/2020|01:35:13|Marina Mini Market|478 Paisley Road West,|G51 1PX|Glasgow City|Convenience Store|Tobacco Only|Mosspark Newsagent + Marina Mini Market|Active
10/18/2020|01:35:13|Marina mini market|Marina Mini Market, 478 Paisley Road West|G51 1PX|Glasgow City|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Mosspark newsagents|Active
10/18/2020|01:35:13|mariner street post office|19 mariner street, camelon|FK1 4LF|Falkirk|Convenience Store|Tobacco And Nicotine Vapour Products|mariner street post office|Active
10/18/2020|01:35:13|Marinis|64/66 Main Street, Baillieston|G69 8YH|Glasgow City|Other Catering|Tobacco Only|MS Fastfoods Ltd|Active
10/18/2020|01:35:13|Marinis|32 Main Street,|G71 7LS|South Lanarkshire|Other Catering|Tobacco Only|Uddingston Fryer Ltd|Active
10/18/2020|01:35:19|MARIONVILLE NEWSAGENTS|31 MARIONVILLE ROAD,|EH7 5UD|Edinburgh City|Convenience Store|Tobacco Only|UMAR NEWSAGENT|Inactive
10/18/2020|01:35:19|MARIOS FAST FOODS|7 THE LOAN, LOANHEAD|EH20 9AE|Midlothian|Other Catering|Tobacco Only|M CROLLA & SONS LTD|Active
10/18/2020|01:35:19|mark parducci|ashlea ulundi road,|PA5 8TF|Renfrewshire|Mobile Trade|Tobacco Only|mark parducci|Active
10/18/2020|01:35:19|Market Arms|5 High Shore,|AB45 1DB|Aberdeenshire|Public House|Tobacco Only|Market Arms Ltd|Active
10/18/2020|01:35:19|Market Bar|68 Main Street,|ML11 8JZ|South Lanarkshire|Public House|Tobacco Only|Market Bar|Inactive
10/18/2020|01:35:19|market inn|7 queen street,|DG7 1HX|Dumfries and Galloway|Public House|Tobacco Only|Nithsdale Vending Ltd|Active
10/18/2020|01:35:19|Marketgait Filling Station |Marketgait Service Station, West Marketgait|DD1 1QP|Dundee City|Forecourt Garage|Tobacco And Nicotine Vapour Products|Northern Lights Aberdeen Limited|Active
10/18/2020|01:35:19|MarkieDans|1 Victoria Crescent, Esplanade|PA34 5PN|Argyll and Bute|Public House|Tobacco Only|Markie Dans|Active
10/18/2020|01:35:19|Markinch|20 High Street,|KY7 6DQ|Fife|Convenience Store|Tobacco And Nicotine Vapour Products|The Co-operative Group Food Ltd|Active
10/18/2020|01:35:19|marks ices|3 brookfield place, alva|FK12 5AB|Clackmannanshire|Mobile Trade|Tobacco Only|marks ices|Inactive
10/18/2020|01:35:19|marmion inns limited|dunrobin drive, stewartfield|G74 4NP|South Lanarkshire|Public House|Tobacco Only|Marmion Inns Limited|Inactive
10/18/2020|01:35:19|Marquis Dairy|101 Marquis Road, Woodside|AB24 2QY|Aberdeen City|Convenience Store|Tobacco Only|Marquis Dairy|Inactive
10/18/2020|01:35:19|Marquis dairy|Marquis Dairy, 101 Marquis Road|AB24 2QY|Aberdeen City|Convenience Store|Tobacco Only|Marquis dairy|Active
10/18/2020|01:35:19|Martell Leisure|Burnbank, Bainsford Road|FK2 7PE|Falkirk|Sports Club|Tobacco Only|Martell Leisure|Inactive
10/18/2020|01:35:19|Martin's Ices|1 Stonehaven Crescent, Cairnhill|ML6 9TF|North Lanarkshire|Mobile Trade|Tobacco And Nicotine Vapour Products|Martin's Ices|Active
10/18/2020|01:35:19|Martin's Newsagent|Martin the Newsagent Ltd, 44 Succoth Street|G13 1DF|Glasgow City|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Martin's Newsagent|Active
10/18/2020|01:35:19|Martins newsagents ltd|Grahams Newsagents, 130 Grahams Road|FK2 7BZ|Falkirk|Confectionary / Tobacconist / Newsagents|Tobacco Only|Martins newsagents ltd|Active
10/18/2020|01:35:19|martins.fruit.bazaar|39.south.methven.street,|PH1 5NU|Perth and Kinross|Other Retail|Tobacco Only|martins.fruit.bazaar.|Inactive
10/18/2020|01:35:19|Martyrs Bay Restaurant|Martyrs Bay, Isle of Iona|PA76 6SJ|Argyll and Bute|Public House|Tobacco Only|Gordon Grant Ltd|Inactive
10/18/2020|01:35:19|Maryburgh Inn|36 High Street, FORT WILLIAM|PH33 6AT|Highland|Public House|Tobacco Only|BELHAVEN LEASED PUBS|Inactive
10/18/2020|01:35:25|MARYBURGH STORES|PROBY STREET, MARYBURGH|IV7 8DU|Highland|Convenience Store|Tobacco And Nicotine Vapour Products|MARYBURGH STORES|Inactive
10/18/2020|01:35:25|Maryfield Post Office|203/205 Albert Street,|DD4 6QA|Dundee City|Other Retail|Tobacco And Nicotine Vapour Products|Ahmad Grocers|Active
10/18/2020|01:35:25|maryhill |265 Maryhill Road,|G20 7YB|Glasgow City|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|maryhill |Active
10/18/2020|01:35:25|Maryhill Juniors Club|18 Lochburn Road,|G20 9AQ|Glasgow City|Sports Club|Tobacco Only|Maryhill Juniors Club|Active
10/18/2020|01:35:25|Masada Bar|69 Rosemount Viaduct,|AB25 1NR|Aberdeen City|Public House|Tobacco Only|Masada Bar|Active
10/18/2020|01:35:25|Masonhill Service Station|130 Hillfoot Road,|KA3 7LB|South Ayrshire|Forecourt Garage|Tobacco And Nicotine Vapour Products|Masonhill Service Station|Active
10/18/2020|01:35:25|Masonic Arms|Masonic Arms, 19 Castle Street|DG6 4JA|Dumfries and Galloway|Public House|Tobacco Only|Masonic Arms|Active
10/18/2020|01:35:25|masonic hall|29 strathaven road,|ML11 9RN|South Lanarkshire|Private Club|Tobacco Only|masonic lodge nethan st john no1289|Inactive
10/18/2020|01:35:25|Mason's Arms|14-16 North Bridge Street, BATHGATE|EH48 4PS|West Lothian|Public House|Tobacco Only|BELHAVEN LEASED PUBS|Active
10/18/2020|01:35:25|master chef|23 broomland street, paisley|PA1 2LT|Renfrewshire|Other Catering|Tobacco Only|master chef|Inactive
10/18/2020|01:35:25|Master Phones & Vapes|Master Phones & Vapes, 26 East Church Street|AB56 1AB|Moray|Other Retail|Nicotine Vapour Products Only|Master Phones & Vapes|Active
10/18/2020|01:35:25|Mastrick Grocer|Unit 9, Mastrick Shopping parade,,|AB16 6JR|Aberdeen City|Off-Licence|Tobacco Only|Unionspark Ltd.|Active
10/18/2020|01:35:25|Mastrick post office and covenience store |Clunie Convenience Store, 7 Clunie Place|AB16 5RN|Aberdeen City|Convenience Store|Tobacco And Nicotine Vapour Products|Mastrick post office &convenience store |Active
10/18/2020|01:35:25|Mather's|Sangomore,|IV27 4PZ|Highland|Convenience Store|Tobacco Only|Mather's|Active
10/18/2020|01:35:25|Mathurs|16-20 East Trinity Road,|EH5 3DY|Edinburgh City|Convenience Store|Tobacco Only|Mathurs|Inactive
10/18/2020|01:35:25|matthew sneddon bakery|59 abbeygreen lesmahagow lanark,|ML11 0EF|South Lanarkshire|Other Retail|Tobacco Only|matthew sneddon bakery|Active
10/18/2020|01:35:25|mattices|19 craigsmill wynd,|ML6 8UY|North Lanarkshire|Mobile Trade|Tobacco Only|mattices|Active
10/18/2020|01:35:25|Mauchline|43-51 Loudoun Street,|KA5 5BE|East Ayrshire|Convenience Store|Tobacco And Nicotine Vapour Products|The Co-operative Group Food Ltd|Active
10/18/2020|01:35:25|Mauchline Service Station|20 Earl Grey Street, Mauchline|KA5 5AD|East Ayrshire|Forecourt Garage|Tobacco And Nicotine Vapour Products|AM Service Stations Ltd|Active
10/18/2020|01:35:25|Mauchline stores|2- 4 Mauchline Court, Harestanes|G66 2SA|East Dunbartonshire|Convenience Store|Tobacco Only|M S stores|Active
10/18/2020|01:35:32|Mauchline Superstore|Key Store, 11A Kilmarnock Road|KA5 5DB|East Ayrshire|Convenience Store|Tobacco And Nicotine Vapour Products|Mauchline Superstore |Active
10/18/2020|01:35:32|maud football social club|market street, maud|AB42 4NH|Aberdeenshire|Sports Club|Tobacco Only|maud football social club|Active
10/18/2020|01:35:32|maukinfauld ltd|maukinfauld ltd, 23 Glasgow Road|ML2 7PG|North Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|mullenium offsales|Inactive
10/18/2020|01:35:32|Maves lucky box|67 Victoria street rothesay,|PA20 0AP|Argyll and Bute|Other Retail|Nicotine Vapour Products Only|Maves lucky box|Active
10/18/2020|01:35:32|MAX GROCERS|129 BROAD STREET,|KY4 8JS|Fife|Convenience Store|Tobacco Only|MAX GROCERS|Active
10/18/2020|01:35:32|Max News Extra|17 Parkgrove Street,|EH4 7NT|Edinburgh City|Confectionary / Tobacconist / Newsagents|Tobacco Only|Max News Extra|Inactive
10/18/2020|01:35:32|Max News Plus|1, Hope Street|KY11 1LW|Fife|Confectionary / Tobacconist / Newsagents|Tobacco Only|Max News Plus|Inactive
10/18/2020|01:35:32|Max News Plus|1 Hope Street,|KY11 1LW|Fife|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Max News Plus|Inactive
10/18/2020|01:35:32|max stores|152a clark drive,|KA12 0NU|North Ayrshire|Off-Licence|Tobacco And Nicotine Vapour Products|max stores|Active
10/18/2020|01:35:32|MAXIMART|119-121 MAIN STREET,|ML1 4TJ|North Lanarkshire|Convenience Store|Tobacco Only|MAXIMART|Inactive
10/18/2020|01:35:32|maximillion events ltd|unit 2, newbridge industrial estate|EH28 8PJ|Edinburgh City|Other Catering|Tobacco Only|maximillion evnts ltd|Active
10/18/2020|01:35:32|Maxserve (GB) Ltd|Belziel Hill Farm Road, Bellshill|ML4 3PD|North Lanarkshire|Forecourt Garage|Tobacco And Nicotine Vapour Products|Maxserve (gb) ltd|Active
10/18/2020|01:35:32|maxton stores|50-52 maxton crescent, coltness|ML2 8SQ|North Lanarkshire|Off-Licence|Tobacco Only|maxton stores|Active
10/18/2020|01:35:32|maxton stores|Maxton Stores, 50 Maxton Crescent|ML2 8SQ|South Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|maxton store ltd|Active
10/18/2020|01:35:32|maxwell drive post office|5 stuart street, the village|G74 4NE|South Lanarkshire|Confectionary / Tobacconist / Newsagents|Tobacco Only|maxwell drive post office|Inactive
10/18/2020|01:35:32|Maxwell Drive Post Office|5 Stuart Street, East Kilbride|G74 4NE|South Lanarkshire|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Maxwell Drive Post Office|Active
10/18/2020|01:35:32|Maxwells|1365 / 67 Dumbarton Road, Scotstoun|G14 9XT|Glasgow City|Convenience Store|Tobacco Only|Maxwells|Active
10/18/2020|01:35:32|maxwells|114 busby road, clarkston|G76 8BG|East Renfrewshire|Off-Licence|Tobacco Only|j want ltd|Active
10/18/2020|01:35:32|Maxwells|Maxwells, 1365-1367 Dumbarton Road|G14 9XT|Glasgow City|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Maxwells|Active
10/18/2020|01:35:32|Maxwells Symington Ltd |Post Office, 14 Main Street, Symington|ML12 6LJ|South Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|Maxwells Symington Ltd |Active
10/18/2020|01:35:38|Maxwellton News Agents|Maxwellton Newsagents, 137 Maxwellton Avenue, East Kilbride|G74 3DU|South Lanarkshire|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Maxwellton News Agents|Active
10/18/2020|01:35:38|maxwellton newsagents|23 maxwellton street,|PA1 2UF|Renfrewshire|Convenience Store|Tobacco And Nicotine Vapour Products|maxwellton newsagents|Active
10/18/2020|01:35:38|Maxwellton Newsagents|137 Maxwellton Avenue Calderwood,|G74 3DU|South Lanarkshire|Convenience Store|Tobacco Only|Maxwellton Newsagents|Inactive
10/18/2020|01:35:38|Maya Indian Takeaway |48 Langstane Place,|AB11 6EN|Aberdeen City|Restaurant|Tobacco Only|Heartmade food Pvt Ltd|Active
10/18/2020|01:35:38|Maybole|19-23 High Street,|KA19 7AB|South Ayrshire|Convenience Store|Tobacco And Nicotine Vapour Products|The Co-operative Group Food Ltd|Active
10/18/2020|01:35:38|MAYBURY|B & M Bargains Ltd, 113 Glasgow Road|EH12 8LU|Edinburgh City|Other Retail|Nicotine Vapour Products Only|B&M RETAIL|Active
10/18/2020|01:35:38|mayfair bar & lounge|74, king street|AB42 1QH|Aberdeenshire|Supermarket and Other Retail Outlets|Tobacco Only|mayfair bar & lounge|Inactive
10/18/2020|01:35:38|Mayfield|14-15 Mayfield Terrace,|DD11 5DJ|Angus|Convenience Store|Tobacco And Nicotine Vapour Products|The Co-operative Group Food Ltd|Active
10/18/2020|01:35:38|Mayfield Discount Store|16-17 Bogwood Court, Mayfield|EH22 5DG|Midlothian|Convenience Store|Tobacco Only|Mayfield Discount Store|Active
10/18/2020|01:35:38|mayfield food store|34 mayfield terrace,|DD11 5DL|Angus|Convenience Store|Tobacco Only|mayfield food store|Active
10/18/2020|01:35:38|mayfield licenced grocers|295 bilsland drive,|G20 9RF|Glasgow City|Off-Licence|Tobacco Only|mayfield licenced grocers|Active
10/18/2020|01:35:38|Mayfield Service Station|High Road,|KE21 5RE|North Ayrshire|Forecourt Garage|Tobacco And Nicotine Vapour Products|GROVE RETAIL LTD|Active
10/18/2020|01:35:38|MAZ GROCER|1 LOANHEAD STREET,|KA1 3AU|East Ayrshire|Off-Licence|Tobacco Only|NEWS 4U|Active
10/18/2020|01:35:38|Maz Newsagent & Grocers|1 Lindores Drive, East Kilbride|G74 1HJ|South Lanarkshire|Convenience Store|Tobacco Only|Maz Newsagent & Grocers|Active
10/18/2020|01:35:38|Mc Cormick,s Newsagents|Mc Cormick,s newsagents, 8 Grosvenor Road|PA15 2DW|Inverclyde|Confectionary / Tobacconist / Newsagents|Tobacco Only|M Cormick,s Newsagents|Inactive
10/18/2020|01:35:38|McCalls Newsagents|221 Clarkston Road,|G44 3DS|Glasgow City|Confectionary / Tobacconist / Newsagents|Tobacco Only|McCalls Newsagents|Active
10/18/2020|01:35:38|McColls|28-30 Aquithie Road,|AB51 5SS|Aberdeenshire|Convenience Store|Tobacco Only|COSTCUTTER|Inactive
10/18/2020|01:35:38|McColls|62 Glen Moray Drive,|IV30 6YA|Moray|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:38|McColls|Unit 11 Abbeygate Mall,|DD11 1HY|Angus|Convenience Store|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:38|McColls|2 Mount Pleasant North Road, Thurso|KW14 8HR|Highland|Convenience Store|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:45|McColls|1 Provost Davidson Drive,|AB41 9BQ|Aberdeenshire|Convenience Store|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:45|McColls|11a Woodilea Road, Newarthill|ML1 5BJ|North Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:45|McColls|Troqueer Mount, Troqueer Road|DG2 7DF|Dumfries and Galloway|Convenience Store|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:45|McColls|23 Main Street, Douglas|ML11 0QW|South Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:45|McColls|3 - 5 Old Town, Peebles|EH45 8JF|Scottish Borders|Convenience Store|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:45|McColls|Pansport Road, Elgin|IV30 1HE|Moray|Convenience Store|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:45|McColls|Kenilworth Avenue, Burnfoot|TD9 8EG|Scottish Borders|Convenience Store|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:45|McColls|Coulhill Locality Centre, Units 1 - 3 Coulhill|IV17 0RS|Highland|Convenience Store|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:45|McColls|23-25 Main Street, Gorebridge|EH23 4BX|Midlothian|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:45|McColls|59-63 Newton Church Road, Danderhall|EH22 1LX|Midlothian|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:45|McColls|11 Jarnac Court, Dalkeith|EH22 1HU|Midlothian|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:45|McColls|Achtercairn, Gairloch|IV21 2BH|Highland|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:45|McColls|12 High Street, Ardeseir|IV2 7QB|Highland|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:45|McColls|The Square, Strathpeffer|IV14 9DW|Highland|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:45|McColls|Culcabock Road, Inverness|IV2 3XQ|Highland|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:45|McColls|Main Street, Castletown|KW14 8TU|Highland|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:45|McColls|Provost Sinclair Road, High Ormile|KW14 7AS|Highland|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:45|McColls|Glenwood Court, South Parks Road|KY6 1PA|Fife|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:45|McColls|Unit 5, Cadham Neighbourhood Centre|KY7 6PE|Fife|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:45|McColls|80 High Street, Kirkcaldy|KY1 1NB|Fife|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:51|McColls|Rosyth Terminus PO, Hilton Road|KY11 2BA|Fife|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:51|McColls|24 North Street, Glenrothes|KY7 5NA|Fife|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:51|McColls|242/244 Balnagask Road, Aberdeen|AB11 8TR|Aberdeen City|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:51|McColls|161 Queens Road, Aberdeen|AB15 8BS|Aberdeen City|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:51|McColls|Unit 5, Braehead Way|AB22 8RR|Aberdeen City|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:51|McColls|130 Union Street, Aberdeen|AB10 1JJ|Aberdeen City|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:51|McColls|8/8A Abbotswell Crescent, Aberdeen|AB12 5AR|Aberdeen City|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:51|McColls|Bervie Brow, Altens|AB12 3NH|Aberdeen City|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:51|McColls|5 Byron Square, Northfield|AB16 7LL|Aberdeen City|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:51|McColls|56/58 Gardner Drive, Kincorth|AB12 5SD|Aberdeen City|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:51|McColls|59-63 Restalrig Road, Edinburgh|EH6 8BE|Edinburgh City|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:51|McColls|265/267 St John's Road, Corstophine|EH12 7XD|Edinburgh City|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:51|McColls|663-667 Ferry Road, Drylaw|EH4 2TX|Edinburgh City|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:51|McColls|2C-E Craigentinny Avenue, Edinburgh|EH7 6PX|Edinburgh City|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:51|McColls|8 Macmillan Square, Edinburgh|EH4 4AB|Edinburgh City|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:51|McColls|120/122 Portobello High Street, Portobello|EH15 1AH|Edinburgh City|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:51|McColls|8 Glasgow Road, Eaglesham|G76 0JQ|East Renfrewshire|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:51|McColls|81 High Street, Forres|IV36 1AA|Moray|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:51|McColls|11 St Andrew Square, Buckpool|AB56 1BU|Moray|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:51|McColls|16-18 New Street, Rothes|AB38 7BW|Moray|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:57|McColls|1 Fleurs Place, Forres|IV36 1LZ|Moray|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:57|McColls|45-47 Moorburn Road, Largs|KA30 9DD|North Ayrshire|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:57|McColls|23 West Doura Court, Kilwinning|KA13 6NR|North Ayrshire|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:57|McColls|13 High Street, Crieff|PH7 3HU|Perth and Kinross|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:57|McColls|144-146 Hillfoot Road, Masonhill|KA7 3LD|South Ayrshire|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
10/18/2020|01:35:57|McColls|91 High Street, Ayr|KA7 1QL|South Ayrshire|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|Martin McColl Ltd|Active
